-------------------------------------------------------------------------
GoodLeaf Tray:	            Time: 	                    Operator ID:    |
-------------------------------------------------------------------------
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060761944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060761944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060761944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:06	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060761944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0632060761944	Time: 2022-07-31 19:39:07	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:24	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0632060167944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:25	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:6630860161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
GoodLeaf Tray:0638060161944	Time: 2022-08-01 11:05:26	Operator ID: 0109
